# Wavelength  (nm), QE (%)
454.809022, 15.990979
455.495713, 16.071684
456.188823, 16.151740
456.888425, 16.231098
457.594592, 16.309706
458.307397, 16.387516
459.026914, 16.464476
459.753214, 16.540534
460.486372, 16.615638
461.226461, 16.689736
461.973553, 16.762775
462.727721, 16.834701
463.489038, 16.905460
464.257579, 16.974997
465.033414, 17.043259
465.816619, 17.110189
466.607265, 17.175733
467.405426, 17.239835
468.211174, 17.302439
469.024584, 17.363489
469.845727, 17.422930
470.674678, 17.480704
471.511508, 17.536756
472.356291, 17.591030
473.209101, 17.643469
474.070009, 17.694018
474.939090, 17.742619
475.816416, 17.789219
476.702060, 17.833761
477.596096, 17.876190
478.498596, 17.916452
479.409633, 17.954491
480.329281, 17.990256
481.257612, 18.023691
482.194700, 18.054744
483.140618, 18.083364
484.095438, 18.109499
485.059234, 18.133098
486.032079, 18.154113
487.014045, 18.172493
488.005207, 18.188192
489.005636, 18.201162
490.015406, 18.211358
491.034591, 18.218735
492.063262, 18.223251
493.101493, 18.224863
494.149358, 18.223531
495.206929, 18.219215
496.274279, 18.211878
497.351482, 18.201484
498.438609, 18.187998
499.535736, 18.171387
500.642933, 18.151621
501.760276, 18.128670
501.760276, 18.128670
502.898178, 18.103617
504.066560, 18.077542
505.264752, 18.050474
506.492085, 18.022438
507.747890, 17.993464
509.031496, 17.963578
510.342235, 17.932809
511.679436, 17.901184
513.042431, 17.868731
514.430549, 17.835477
515.843121, 17.801450
517.279478, 17.766677
518.738949, 17.731186
520.220866, 17.695003
521.724559, 17.658157
523.249358, 17.620674
524.794594, 17.582580
526.359597, 17.543904
527.943697, 17.504671
529.546226, 17.464907
531.166514, 17.424641
532.803890, 17.383896
534.457686, 17.342700
536.127231, 17.301078
537.811857, 17.259057
539.510894, 17.216660
541.223672, 17.173915
542.949522, 17.130845
544.687774, 17.087476
546.437759, 17.043832
548.198806, 16.999938
549.970248, 16.955819
551.751413, 16.911497
553.541632, 16.866997
555.340237, 16.822342
557.146556, 16.777557
558.959922, 16.732663
560.779664, 16.687684
562.605112, 16.642642
564.435598, 16.597561
566.270451, 16.552461
568.109002, 16.507366
569.950582, 16.462296
571.794520, 16.417274
573.640148, 16.372321
575.486796, 16.327457
577.333794, 16.282703
579.180473, 16.238080
581.026163, 16.193609
582.870194, 16.149310
584.711898, 16.105201
586.550604, 16.061304
588.385643, 16.017638
590.216346, 15.974221
592.042043, 15.931073
593.862064, 15.888212
595.675739, 15.845658
597.482400, 15.803429
599.281377, 15.761542
601.072000, 15.720016
602.853599, 15.678869
604.625506, 15.638118
606.387050, 15.597781
608.137561, 15.557876
609.876372, 15.518418
611.602811, 15.479426
613.316209, 15.440915
615.015898, 15.402903
616.701206, 15.365406
618.371465, 15.328441
620.026005, 15.292023
621.664157, 15.256168
623.285251, 15.220894
624.888617, 15.186214
626.473586, 15.152146
628.039489, 15.118705
629.585655, 15.085906
631.111416, 15.053765
632.616101, 15.022297
634.099042, 14.991517
635.559568, 14.961440
636.997010, 14.932083
638.410699, 14.903459
639.799965, 14.875584
641.164138, 14.848473
642.502549, 14.822141
643.814528, 14.796603
645.099406, 14.771874
646.356514, 14.747968
647.585181, 14.724902
648.784738, 14.702690
649.954516, 14.681346
651.093845, 14.660887
652.202055, 14.641327
653.278477, 14.622681
654.322442, 14.604965
655.333279, 14.588194
656.310320, 14.572384
657.252895, 14.557550
657.252895, 14.557550
658.174915, 14.542798
659.090804, 14.527165
660.000661, 14.510661
660.904583, 14.493297
661.802668, 14.475083
662.695015, 14.456031
663.581723, 14.436151
664.462888, 14.415455
665.338609, 14.393954
666.208985, 14.371659
667.074113, 14.348581
667.934092, 14.324732
668.789019, 14.300123
669.638993, 14.274767
670.484112, 14.248674
671.324475, 14.221857
672.160179, 14.194327
672.991322, 14.166095
673.818002, 14.137175
674.640319, 14.107577
675.458369, 14.077314
676.272252, 14.046398
677.082064, 14.014841
677.887905, 13.982654
678.689872, 13.949850
679.488064, 13.916441
680.282578, 13.882438
681.073514, 13.847855
681.860968, 13.812702
682.645040, 13.776992
683.425826, 13.740738
684.203427, 13.703951
684.977938, 13.666642
685.749460, 13.628825
686.518089, 13.590511
687.283925, 13.551712
688.047064, 13.512440
688.807606, 13.472706
689.565648, 13.432524
690.321289, 13.391904
691.074627, 13.350858
691.825759, 13.309398
692.574785, 13.267535
693.321801, 13.225282
694.066907, 13.182649
694.810200, 13.139649
695.551779, 13.096292
696.291742, 13.052590
697.030186, 13.008555
697.767211, 12.964197
698.502913, 12.919527
699.237392, 12.874557
699.970745, 12.829298
700.703071, 12.783761
701.434468, 12.737956
702.165033, 12.691894
702.894866, 12.645586
703.624063, 12.599043
704.352724, 12.552274
705.080946, 12.505290
705.808828, 12.458103
706.536468, 12.410721
707.263963, 12.363154
707.991413, 12.315414
708.718914, 12.267510
709.446566, 12.219451
710.174466, 12.171248
710.902713, 12.122909
711.631404, 12.074445
712.360639, 12.025865
713.090514, 11.977178
713.821129, 11.928393
