# Wavelength  (nm), QE (%)
426.493010, 31.209985
427.153461, 31.122473
427.812415, 31.034828
428.469576, 30.947098
429.124653, 30.859331
429.777350, 30.771577
430.427375, 30.683882
431.074433, 30.596294
431.718231, 30.508858
432.358475, 30.421621
432.994871, 30.334629
433.627126, 30.247926
434.254946, 30.161556
434.878038, 30.075564
435.496107, 29.989993
436.108859, 29.904886
436.716002, 29.820284
437.317241, 29.736231
437.912283, 29.652766
438.500834, 29.569932
439.082600, 29.487769
439.657288, 29.406316
440.224603, 29.325614
440.784253, 29.245701
441.335943, 29.166615
441.879379, 29.088397
442.414269, 29.011082
442.940318, 28.934709
443.457232, 28.859315
443.964718, 28.784936
444.462483, 28.711610
444.950231, 28.639371
445.427671, 28.568257
445.894507, 28.498301
446.350447, 28.429540
446.795196, 28.362009
447.228461, 28.295741
447.649948, 28.230772
448.059363, 28.167135
448.456413, 28.104865
448.840804, 28.043996
449.212243, 27.984560
449.570434, 27.926593
449.915086, 27.870126
450.245904, 27.815193
450.562594, 27.761828
450.864863, 27.710064
451.152416, 27.659933
451.424961, 27.611469
451.682204, 27.564705
451.923850, 27.519673
452.149606, 27.476408
452.359179, 27.434943
452.359179, 27.434943
452.691686, 27.368026
453.025877, 27.300646
453.361715, 27.232826
453.699164, 27.164587
454.038190, 27.095952
454.378756, 27.026943
454.720825, 26.957581
455.064364, 26.887888
455.409334, 26.817887
455.755701, 26.747597
456.103429, 26.677041
456.452482, 26.606239
456.802824, 26.535212
457.154419, 26.463980
457.507232, 26.392565
457.861226, 26.320985
458.216365, 26.249262
458.572615, 26.177414
458.929938, 26.105463
459.288299, 26.033426
459.647663, 25.961323
460.007993, 25.889174
460.369254, 25.816997
460.731409, 25.744810
461.094423, 25.672633
461.458260, 25.600483
461.822884, 25.528378
462.188259, 25.456337
462.554350, 25.384377
462.921120, 25.312515
463.288534, 25.240769
463.656555, 25.169156
464.025149, 25.097693
464.394279, 25.026395
464.763909, 24.955281
465.134004, 24.884366
465.504527, 24.813666
465.875442, 24.743197
466.246715, 24.672975
466.618309, 24.603015
466.990188, 24.533333
467.362316, 24.463945
467.734657, 24.394864
468.107176, 24.326106
468.479837, 24.257686
468.852604, 24.189618
469.225441, 24.121916
469.598312, 24.054594
469.971181, 23.987667
470.344013, 23.921148
470.716771, 23.855051
471.089420, 23.789390
471.461924, 23.724177
471.834247, 23.659426
472.206353, 23.595150
472.578207, 23.531362
472.949772, 23.468075
473.321013, 23.405300
473.691893, 23.343052
474.062377, 23.281341
474.432430, 23.220180
474.802015, 23.159582
475.171096, 23.099558
475.539637, 23.040120
475.907604, 22.981279
476.274959, 22.923048
476.641667, 22.865438
477.007692, 22.808460
477.372998, 22.752125
477.737550, 22.696445
478.101311, 22.641430
478.464246, 22.587093
478.826319, 22.533442
479.187494, 22.480491
479.547735, 22.428248
479.907006, 22.376725
480.265272, 22.325932
480.622496, 22.275880
480.978643, 22.226580
481.333676, 22.178041
481.687561, 22.130274
482.040261, 22.083290
482.391740, 22.037098
482.741963, 21.991709
483.090893, 21.947133
483.438495, 21.903380
483.784733, 21.860460
484.129570, 21.818384
484.472972, 21.777161
484.814903, 21.736801
485.155326, 21.697315
485.494205, 21.658712
485.831505, 21.621004
486.167190, 21.584198
486.501224, 21.548307
486.833572, 21.513339
487.164196, 21.479305
487.493062, 21.446216
487.820134, 21.414080
487.820134, 21.414080
488.146765, 21.382524
488.474130, 21.351103
488.802190, 21.319800
489.130905, 21.288597
489.460236, 21.257478
489.790145, 21.226425
490.120592, 21.195420
490.451539, 21.164447
490.782945, 21.133489
491.114772, 21.102528
491.446981, 21.071548
491.779533, 21.040532
492.112388, 21.009464
492.445508, 20.978327
492.778854, 20.947105
493.112385, 20.915781
493.446064, 20.884339
493.779850, 20.852763
494.113706, 20.821037
494.447592, 20.789146
494.781468, 20.757073
495.115296, 20.724803
495.449037, 20.692320
495.782650, 20.659608
496.116099, 20.626654
496.449342, 20.593440
496.782342, 20.559952
497.115058, 20.526175
497.447453, 20.492095
497.779486, 20.457696
498.111119, 20.422964
498.442312, 20.387884
498.773027, 20.352442
499.103225, 20.316624
499.432865, 20.280415
499.761910, 20.243802
500.090320, 20.206771
500.418055, 20.169308
500.745078, 20.131400
501.071348, 20.093033
501.396827, 20.054193
501.721476, 20.014869
502.045254, 19.975047
502.368124, 19.934714
502.690047, 19.893857
503.010982, 19.852465
503.330892, 19.810525
503.649736, 19.768025
503.967476, 19.724954
504.284072, 19.681298
504.599487, 19.637047
504.913679, 19.592191
505.226611, 19.546716
505.538243, 19.500613
505.848537, 19.453871
506.157452, 19.406480
506.464950, 19.358429
506.770992, 19.309708
507.075539, 19.260307
507.378552, 19.210217
507.679990, 19.159428
507.979817, 19.107931
508.277991, 19.055718
508.574475, 19.002780
508.869229, 18.949107
509.162213, 18.894693
509.453390, 18.839529
509.742719, 18.783608
