# Spectrum from 'tdtomato-2pex'
# Wavelength  (nm), 2P Excitation (a.u.)
1159.000000, 7.250000
1160.000000, 6.950000
1161.000000, 6.580000
1162.000000, 6.170000
1163.000000, 5.740000
1164.000000, 5.310000
1165.000000, 4.880000
1166.000000, 4.490000
1167.000000, 4.140000
1168.000000, 3.830000
1169.000000, 3.550000
1170.000000, 3.310000
1171.000000, 3.080000
1172.000000, 2.870000
1173.000000, 2.670000
1174.000000, 2.480000
1175.000000, 2.310000
1176.000000, 2.150000
1177.000000, 1.990000
1178.000000, 1.850000
1179.000000, 1.720000
1180.000000, 1.610000
1181.000000, 1.500000
1182.000000, 1.410000
1183.000000, 1.330000
1184.000000, 1.250000
1185.000000, 1.170000
1186.000000, 1.100000
1187.000000, 1.030000
1188.000000, 0.960000
1189.000000, 0.900000
1190.000000, 0.850000
1191.000000, 0.800000
1192.000000, 0.760000
1193.000000, 0.720000
1194.000000, 0.680000
1195.000000, 0.630000
1196.000000, 0.590000
1197.000000, 0.560000
1198.000000, 0.530000
1199.000000, 0.500000
1200.000000, 0.470000
1201.000000, 0.440000
1202.000000, 0.410000
1203.000000, 0.380000
1204.000000, 0.360000
1205.000000, 0.340000
1206.000000, 0.320000
1207.000000, 0.300000
1208.000000, 0.280000
1209.000000, 0.260000
1210.000000, 0.240000
1211.000000, 0.230000
1212.000000, 0.210000
1213.000000, 0.190000
1214.000000, 0.180000
1215.000000, 0.160000
1216.000000, 0.150000
1217.000000, 0.140000
1218.000000, 0.130000
1219.000000, 0.130000
1220.000000, 0.120000
1221.000000, 0.110000
1222.000000, 0.100000
1223.000000, 0.100000
1224.000000, 0.090000
1225.000000, 0.090000
1226.000000, 0.080000
1227.000000, 0.080000
1228.000000, 0.070000
1229.000000, 0.070000
1230.000000, 0.060000
1231.000000, 0.060000
1232.000000, 0.060000
1233.000000, 0.060000
1234.000000, 0.050000
1235.000000, 0.050000
1236.000000, 0.050000
1237.000000, 0.050000
1238.000000, 0.040000
1239.000000, 0.040000
1240.000000, 0.040000
1241.000000, 0.030000
1242.000000, 0.030000
1243.000000, 0.030000
1244.000000, 0.030000
1245.000000, 0.030000
1246.000000, 0.030000
1247.000000, 0.030000
1248.000000, 0.020000
1249.000000, 0.020000
1250.000000, 0.020000
1251.000000, 0.020000
1252.000000, 0.020000
1253.000000, 0.020000
1254.000000, 0.020000
1255.000000, 0.020000
1256.000000, 0.020000
1257.000000, 0.020000
1258.000000, 0.020000
