# Wavelength (nm), Transmission (%)
502.55728,	24.53808
502.93841,	23.40458
502.88396,	22.51617
502.72062,	22.14855
503.21064,	21.32140
503.21064,	20.58616
503.15620,	19.75901
503.53732,	18.83996
503.53732,	18.10471
503.53732,	17.41542
503.86401,	16.54232
503.80956,	15.65391
504.19069,	14.79612
504.13624,	13.96898
504.51737,	12.95802
504.51737,	12.22278
504.78960,	11.21182
505.17073,	10.38467
505.11628,	9.58816
505.55186,	8.51593
505.98744,	7.39775
506.15078,	6.47870
506.74969,	5.69750
507.29416,	4.71718
507.62084,	4.04321
508.43755,	3.35392
509.41759,	2.57272
510.72432,	1.88343
512.03104,	1.40093
513.33777,	1.14819
514.64449,	0.94141
515.95122,	0.91843
517.25795,	0.87248
518.56467,	0.91843
519.87140,	0.94141
521.17812,	1.10224
522.48485,	1.26307
523.79157,	1.40093
525.09830,	1.53879
526.40503,	1.67665
527.71175,	1.83748
529.01848,	1.83748
530.32520,	1.76855
531.63193,	1.65367
532.93865,	1.46986
534.24538,	1.35498
535.55211,	1.28605
536.85883,	1.28605
538.16556,	1.28605
539.47228,	1.28605
540.77901,	1.30903
542.08574,	1.46986
543.39246,	1.46986
544.69919,	1.46986
546.00591,	1.46986
547.31264,	1.44688
548.61936,	1.28605
549.92609,	1.17117
551.23282,	1.10224
552.53954,	0.96438
553.84627,	0.91843
555.15299,	0.91843
556.45972,	0.91843
557.76644,	1.05629
559.07317,	1.10224
560.37990,	1.21712
561.68662,	1.28605
562.99335,	1.33200
564.30007,	1.37796
565.60680,	1.33200
566.91353,	1.28605
568.22025,	1.19414
569.52698,	1.10224
570.83370,	1.07926
572.14043,	1.01033
573.44715,	1.01033
574.75388,	1.07926
576.06061,	1.10224
577.36733,	1.26307
578.67406,	1.30903
579.98078,	1.44688
581.28751,	1.44688
582.59424,	1.28605
583.90096,	1.05629
585.20769,	0.82652
586.51441,	0.64271
587.82114,	0.55081
589.12786,	0.41295
590.43459,	0.29807
591.74132,	0.18319
593.04804,	0.11426
594.35477,	0.09128
595.66149,	0.09128
596.96822,	0.09128
598.27494,	0.09128
599.58167,	0.09128
600.88840,	0.11426
602.19512,	0.18319
603.50185,	0.25212
604.80857,	0.41295
606.11530,	0.64271
607.42203,	0.94141
608.72875,	1.44688
