# Wavelength  (nm), Reflectance (%)
893.000000, 68.775840
894.000000, 69.703310
895.000000, 70.578590
896.000000, 71.454030
897.000000, 72.249000
898.000000, 73.013790
899.000000, 73.771490
900.000000, 74.458410
901.000000, 75.105880
902.000000, 75.727030
903.000000, 76.308080
904.000000, 76.833080
905.000000, 77.360490
906.000000, 77.841880
907.000000, 78.266460
908.000000, 78.681940
909.000000, 79.063800
910.000000, 79.394800
911.000000, 79.715960
912.000000, 80.018550
913.000000, 80.274930
914.000000, 80.517100
915.000000, 80.729450
916.000000, 80.928070
917.000000, 81.087570
918.000000, 81.234070
919.000000, 81.360860
920.000000, 81.455560
921.000000, 81.530010
922.000000, 81.578620
923.000000, 81.620940
924.000000, 81.629070
925.000000, 81.625740
926.000000, 81.600570
927.000000, 81.552340
928.000000, 81.486440
929.000000, 81.412020
930.000000, 81.306520
931.000000, 81.170330
932.000000, 81.047130
933.000000, 80.881050
934.000000, 80.697030
935.000000, 80.496530
936.000000, 80.280160
937.000000, 80.047600
938.000000, 79.791880
939.000000, 79.506740
940.000000, 79.215090
941.000000, 78.905970
942.000000, 78.595510
943.000000, 78.228940
944.000000, 77.851690
945.000000, 77.486120
946.000000, 77.090290
947.000000, 76.664120
948.000000, 76.240810
949.000000, 75.778040
950.000000, 75.307620
951.000000, 74.846200
952.000000, 74.345990
953.000000, 73.836350
954.000000, 73.303110
955.000000, 72.785840
956.000000, 72.229860
957.000000, 71.679000
958.000000, 71.117960
959.000000, 70.546880
960.000000, 69.953350
961.000000, 69.379490
962.000000, 68.797970
963.000000, 68.178500
964.000000, 67.603360
965.000000, 67.006850
966.000000, 66.383310
967.000000, 65.808110
968.000000, 65.182730
969.000000, 64.581110
970.000000, 64.006710
971.000000, 63.416760
972.000000, 62.819000
973.000000, 62.246860
974.000000, 61.691330
975.000000, 61.101990
976.000000, 60.548260
977.000000, 60.007750
978.000000, 59.462380
979.000000, 58.930270
980.000000, 58.406030
981.000000, 57.876680
982.000000, 57.362440
983.000000, 56.867580
984.000000, 56.372920
985.000000, 55.878120
986.000000, 55.396040
987.000000, 54.896270
988.000000, 54.424050
989.000000, 53.954320
990.000000, 53.478620
991.000000, 53.002640
992.000000, 52.534180
993.000000, 52.050340
994.000000, 51.558870
995.000000, 51.085480
996.000000, 50.583630
997.000000, 50.081080
998.000000, 49.573990
999.000000, 49.067380
1000.000000, 48.513440
1001.000000, 47.961900
1002.000000, 47.424010
1003.000000, 46.851250
1004.000000, 46.255390
1005.000000, 45.667160
1006.000000, 45.043200
1007.000000, 44.393230
1008.000000, 43.777630
1009.000000, 43.102880
1010.000000, 42.422540
1011.000000, 41.741560
1012.000000, 41.045600
1013.000000, 40.307860
1014.000000, 39.592240
1015.000000, 38.858310
1016.000000, 38.109280
1017.000000, 37.368680
1018.000000, 36.618160
1019.000000, 35.841990
1020.000000, 35.073170
1021.000000, 34.336930
1022.000000, 33.582290
1023.000000, 32.835030
1024.000000, 32.123640
1025.000000, 31.400260
1026.000000, 30.698400
1027.000000, 30.054140
1028.000000, 29.409530
1029.000000, 28.802880
1030.000000, 28.249130
1031.000000, 27.725270
1032.000000, 27.233760
1033.000000, 26.822900
1034.000000, 26.457280
1035.000000, 26.147470
1036.000000, 25.901540
1037.000000, 25.722250
1038.000000, 25.610600
1039.000000, 25.565700
1040.000000, 25.592300
1041.000000, 25.690740
1042.000000, 25.861480
1043.000000, 26.092640
1044.000000, 26.403960
1045.000000, 26.789580
1046.000000, 27.211220
1047.000000, 27.710320
1048.000000, 28.257250
1049.000000, 28.837980
1050.000000, 30.030620
1051.000000, 30.705700
1052.000000, 31.389480
1053.000000, 32.093730
1054.000000, 32.845150
1055.000000, 33.589390
1056.000000, 34.360280
1057.000000, 35.147890
1058.000000, 35.939900
1059.000000, 36.691500
1060.000000, 37.474960
1061.000000, 38.254190
1062.000000, 38.982800
1063.000000, 39.754070
1064.000000, 40.498730
1065.000000, 41.190040
1066.000000, 41.888040
1067.000000, 42.565400
1068.000000, 43.209950
1069.000000, 43.827450
1070.000000, 44.447440
1071.000000, 45.010610
1072.000000, 45.551100
1073.000000, 46.073910
1074.000000, 46.567500
1075.000000, 47.036900
1076.000000, 47.494190
1077.000000, 47.918430
1078.000000, 48.312840
1079.000000, 48.682820
1080.000000, 49.035420
1081.000000, 49.353420
1082.000000, 49.668820
1083.000000, 49.969270
1084.000000, 50.239280
1085.000000, 50.485720
1086.000000, 50.731940
1087.000000, 50.938840
1088.000000, 51.130480
1089.000000, 51.321290
1090.000000, 51.471000
1091.000000, 51.641750
1092.000000, 51.786640
1093.000000, 51.917110
1094.000000, 52.028800
1095.000000, 52.171450
1096.000000, 52.252140
1097.000000, 52.390190
1098.000000, 52.435280
1099.000000, 52.553370
1100.000000, 52.607530
1101.000000, 52.720210
1102.000000, 52.748200
1103.000000, 52.843470
1104.000000, 52.898710
1105.000000, 52.958490
1106.000000, 53.022310
1107.000000, 53.070740
1108.000000, 53.166190
1109.000000, 53.178590
1110.000000, 53.250100
1111.000000, 53.341250
1112.000000, 53.332080
1113.000000, 53.414050
1114.000000, 53.506550
1115.000000, 53.552750
1116.000000, 53.586300
1117.000000, 53.623760
1118.000000, 53.737430
1119.000000, 53.792770
1120.000000, 53.846370
1121.000000, 53.931130
1122.000000, 53.967490
1123.000000, 54.043470
1124.000000, 54.106230
1125.000000, 54.176330
1126.000000, 54.234980
1127.000000, 54.313540
1128.000000, 54.365430
1129.000000, 54.435680
1130.000000, 54.486720
1131.000000, 54.528500
1132.000000, 54.614810
1133.000000, 54.674970
1134.000000, 54.712010
1135.000000, 54.752900
1136.000000, 54.800720
1137.000000, 54.834610
1138.000000, 54.871390
1139.000000, 54.887620
1140.000000, 54.901560
