# Wavelength (um),Conductivity
1.028729741848861234e+00, 9.999998772200000552e-01
1.028917939323690467e+00, 9.999998629199999822e-01
1.029106205669417129e+00, 9.999999837199999853e-01
1.029294540923852752e+00, 9.999999894700000169e-01
1.029482945124837512e+00, 9.999992758200000331e-01
1.029671418310238007e+00, 9.999999935800000239e-01
1.029859960517949702e+00, 9.999999901399999613e-01
1.030048571785895373e+00, 9.999981354400000466e-01
1.030237252152025329e+00, 9.999999925700000514e-01
1.030426001654317858e+00, 9.999999976200000251e-01
1.030614820330779891e+00, 9.999999889599999747e-01
1.030803708219444781e+00, 9.999999927499999552e-01
1.030992665358374749e+00, 9.999998314700000446e-01
1.031181691785659771e+00, 9.999999464200000077e-01
1.031370787539417577e+00, 9.999999722100000321e-01
1.031559952657793877e+00, 9.999999314699999919e-01
1.031749187178962357e+00, 9.999999711999999485e-01
1.031938491141125347e+00, 9.999999894300000136e-01
1.032127864582512267e+00, 9.999999404899999611e-01
1.032317307541380957e+00, 9.999999986299999977e-01
1.032506820056017460e+00, 9.999999995899999661e-01
1.032696402164736238e+00, 9.999999977000000317e-01
1.032886053905879065e+00, 9.999999991700000423e-01
1.033075775317816580e+00, 9.999999972899999978e-01
1.033265566438947403e+00, 9.999999903299999771e-01
1.033455427307698571e+00, 9.999999601100000302e-01
1.033645357962524880e+00, 9.999999798199999956e-01
1.033835358441909991e+00, 9.999998827699999593e-01
1.034025428784365541e+00, 9.999999997499999793e-01
1.034215569028431148e+00, 9.999999991300000390e-01
1.034405779212675736e+00, 9.999999966899999482e-01
1.034596059375695321e+00, 9.999999962200000203e-01
1.034786409556115894e+00, 9.999997701499999669e-01
1.034976829792590536e+00, 9.999999991300000390e-01
1.035167320123801193e+00, 9.999999997599999801e-01
1.035357880588458679e+00, 9.999999995099999595e-01
1.035548511225302004e+00, 9.999999904799999895e-01
1.035739212073098381e+00, 9.999997564600000555e-01
1.035929983170643887e+00, 9.999999583899999989e-01
1.036120824556763909e+00, 9.999999512099999599e-01
1.036311736270311146e+00, 9.999999978000000400e-01
1.036502718350167829e+00, 9.999999997999999835e-01
1.036693770835244610e+00, 9.999999999199999934e-01
1.036884893764480786e+00, 9.999999995499999628e-01
1.037076087176844075e+00, 9.999999986800000018e-01
1.037267351111331504e+00, 9.999999844200000432e-01
1.037458685606968745e+00, 9.999999921900000199e-01
1.037650090702810335e+00, 9.999999971899999895e-01
1.037841566437939012e+00, 9.999994437000000458e-01
1.038033112851467044e+00, 9.999999983299999728e-01
1.038224729982535344e+00, 9.999999995699999644e-01
1.038416417870313913e+00, 9.999999979600000533e-01
1.038608176554001172e+00, 9.999994974000000481e-01
1.038800006072824855e+00, 9.999999972799999970e-01
1.038991906466042003e+00, 9.999999024600000341e-01
1.039183877772938080e+00, 9.999999780499999602e-01
1.039375920032828082e+00, 9.999999982699999679e-01
1.039568033285055648e+00, 9.999999855400000248e-01
1.039760217568993728e+00, 9.999999955599999657e-01
1.039952472924044580e+00, 9.999999974200000086e-01
1.040144799389638886e+00, 9.999999994199999520e-01
1.040337197005237524e+00, 9.999999989500000241e-01
1.040529665810329796e+00, 9.999996665999999479e-01
1.040722205844434756e+00, 9.999999988900000192e-01
1.040914817147100102e+00, 9.999999992800000514e-01
1.041107499757903510e+00, 9.999999977600000367e-01
1.041300253716451518e+00, 9.999999374900000459e-01
1.041493079062379978e+00, 9.999999909800000308e-01
1.041685975835354050e+00, 9.999999990100000291e-01
1.041878944075069091e+00, 9.999999998899999909e-01
1.042071983821248882e+00, 9.999999991700000423e-01
1.042265095113646955e+00, 9.999999898200000459e-01
1.042458277992046822e+00, 9.999999954599999574e-01
1.042651532496260414e+00, 9.999999987900000109e-01
1.042844858666130303e+00, 9.999999952100000478e-01
1.043038256541527709e+00, 9.999999995899999661e-01
1.043231726162354489e+00, 9.999999985499999910e-01
1.043425267568541148e+00, 9.999999968399999606e-01
1.043618880800048165e+00, 9.999999997399999785e-01
1.043812565896865774e+00, 1.000000000000000000e+00
1.044006322899013961e+00, 9.999999981999999621e-01
1.044200151846542024e+00, 9.999999998699999892e-01
1.044394052779529014e+00, 9.999999999399999950e-01
1.044588025738084847e+00, 9.999999996999999752e-01
1.044782070762347859e+00, 9.999999976200000251e-01
1.044976187892486807e+00, 9.999999953499999483e-01
1.045170377168700426e+00, 9.999999996299999694e-01
1.045364638631217202e+00, 9.999999990500000324e-01
1.045558972320295377e+00, 9.999996487100000220e-01
1.045753378276223167e+00, 9.999999989700000258e-01
1.045947856539318988e+00, 1.000000000000000000e+00
1.046142407149931453e+00, 1.000000000000000000e+00
1.046337030148438485e+00, 1.000000000000000000e+00
1.046531725575248428e+00, 1.000000000000000000e+00
1.046726493470800268e+00, 1.000000000000000000e+00
1.046921333875561855e+00, 9.999999997299999777e-01
1.047116246830032349e+00, 9.999998647900000259e-01
1.047311232374740220e+00, 9.999999987600000084e-01
1.047506290550245023e+00, 9.999999954399999558e-01
1.047701421397135846e+00, 9.999999996499999710e-01
1.047896624956032197e+00, 9.999999989900000275e-01
1.048091901267583781e+00, 9.999999994899999578e-01
1.048287250372470947e+00, 1.000000000000000000e+00
1.048482672311403796e+00, 1.000000000000000000e+00
1.048678167125123295e+00, 1.000000000000000000e+00
1.048873734854400830e+00, 1.000000000000000000e+00
1.049069375540037985e+00, 1.000000000000000000e+00
1.049265089222866543e+00, 1.000000000000000000e+00
1.049460875943749372e+00, 1.000000000000000000e+00
1.049656735743579317e+00, 1.000000000000000000e+00
1.049852668663280086e+00, 1.000000000000000000e+00
1.050048674743805588e+00, 1.000000000000000000e+00
1.050244754026140814e+00, 1.000000000000000000e+00
1.050440906551300957e+00, 9.999999993399999454e-01
1.050637132360332293e+00, 9.999999990100000291e-01
1.050833431494311299e+00, 1.000000000000000000e+00
1.051029803994345313e+00, 1.000000000000000000e+00
1.051226249901572540e+00, 9.999999997599999801e-01
1.051422769257161605e+00, 9.999999981799999604e-01
1.051619362102312438e+00, 9.999999937700000396e-01
1.051816028478255394e+00, 9.999999948300000163e-01
1.052012768426252132e+00, 9.999999956499999731e-01
1.052209581987594511e+00, 9.999999991900000440e-01
1.052406469203605699e+00, 9.999997509400000428e-01
1.052603430115639949e+00, 9.999999994599999553e-01
1.052800464765082156e+00, 9.999999986900000026e-01
1.052997573193347858e+00, 9.999999989700000258e-01
1.053194755441884789e+00, 9.999999998799999901e-01
1.053392011552170882e+00, 9.999999997499999793e-01
1.053589341565715154e+00, 9.999999966999999490e-01
1.053786745524057933e+00, 9.999999951900000461e-01
1.053984223468770631e+00, 9.999999936500000297e-01
1.054181775441455748e+00, 9.999999993599999470e-01
1.054379401483747092e+00, 9.999999999399999950e-01
